age,gpa,faminc,mayuse,attuse,attusers,streneff,athabil,wghtsat,sterknow,testknow,suppknow,peerinfo,teaminfo,coainfo,coachtol,bodyimg,esteem,impuls,rmay,rsupp,rtest
17,2.5,4,1,7,5.33,6.83,7,3,6,0,1,6,7,7,1,4.33,6.75,1,0,0,0
17,3,7,1,6,4,6,7,4,2,0,0,4.67,7,5.33,3.33,3,5.5,4.5,0,0,0
16,3.5,7,1,3,4.67,5,5,3,10,0,2,5,5,5,1.67,4,5,3.33,0,0,0
17,2.5,4,1,7,7,6.67,6.25,3,15,2,1,7,6.33,7,1,4.33,6,2.33,0,0,0
17,4,7,1,7,7,6.83,7,3,15,1,3,6.33,6.33,7,1,5,7,1,0,0,0
17,3,6,1,5,4,4,4,5,16,1,0,4,4,4,4,5,4,4,0,0,0
17,3,999,1,5,4,1,7,2,1,1,2,1,1,1,1,5,7,1,0,0,0
16,3,3,1,5,7,7,4.75,2,15,1,3,7,7,7,1,3.33,3.5,1.67,0,0,0
17,4,6,1,7,7,7,999,5,15,1,999,7,999,7,1,999,999,999,0,1,0
17,4,7,2.2,5,6,7,6,3,0,0,4,4.67,6.67,6.33,1.67,3.33,6.5,1,0,0,0
17,3.5,7,1,6.67,6.33,5,5.75,2,16,1,3,4.33,5,5,2.33,3,6,1.5,0,0,0
15,3,999,1.8,4,5.33,5.5,7,2,12,0,3,4,5,5.67,1,3.33,5.5,1.67,0,0,0
15,3.5,5,1.6,6,4.33,7,7,2,10,0,1,7,7,7,1,4.67,7,2.5,0,0,0
15,4,5,3.4,5.33,4,6.83,6.25,1,9,0,0,4,5,5.33,4,4.67,6.25,5.33,0,0,0
14,4,6,2.2,3,5,4,6.75,5,2,1,0,4,4,4,4,5,5.25,4,0,0,0
15,4,7,1,5.33,5.67,6,6,4,15,0,4,5,5.33,5.33,1,3.67,6,2.5,0,0,0
16,3.5,999,1,7,6.67,4.67,4.25,3,9,1,2,6,5.67,6,1,4,6.75,1.17,0,0,0
17,3.5,999,1,5,5.33,7,5.75,2,2,0,3,7,7,7,2,3.33,5.75,4.17,0,0,0
17,2.5,7,3,4,4,4,6.5,1,2,1,0,4,4,4,3,2.5,4,4,0,0,0
17,3,6,4,5.33,4,4,6,5,8,0,999,4,5,4,4,5,4,4,0,1,0
17,2,999,1,6.67,7,6.17,6.25,2,13,1,3,4.33,5.33,5.33,1.33,4,6.25,2.5,0,0,0
16,2.5,7,4,4,4,4,4,1,0,0,1,4,4,4,4,3,4,4,0,0,0
16,3,999,1,3,5,3.83,7,1,7,1,2,2.33,3.67,3,3,5,3.5,3.67,0,0,0
16,2.5,999,2.2,6,4,4,6.5,4,0,0,0,4,4,4,2,1,7,2.67,0,0,0
15,3,999,1,4,6.67,6.83,7,4,0,0,1,6.33,4,6.67,3,3,4,4,0,0,0
15,2,7,3.4,5,4,5.33,5.5,3,0,1,0,4.67,6.33,5,4,4.67,5.5,4,0,0,0
16,2.5,4,1.6,5,5.33,7,6.5,1,14,1,1,4.67,6,5.33,1.33,4.33,6,2,0,0,0
14,3.5,7,3.2,7,3.67,7,6.75,2,12,0,1,5,5.67,7,2.33,3.67,2,1,0,0,0
17,3.5,3,1,5.67,5,3.67,4.5,2,4,1,2,3.67,4.33,2,3.33,3,5.75,1.83,0,0,0
16,3,7,1,6,3.33,6.33,6.25,2,4,0,2,3.33,6,6,3.67,3.33,6.25,1.17,0,0,0
16,3,7,1.8,5.33,3,6,7,2,16,1,1,5,6,6.33,1.33,3,6.25,3.17,0,0,0
14,3,999,1,4,999,6.5,999,1,14,1,1,4,5,5,5,4,7,1,0,0,0
16,3.5,6,1,6.33,4.67,4,6.25,2,8,0,1,2.33,4.33,2.33,1.67,3.33,6,3.67,0,0,0
15,3,999,2.8,4,4.33,6.2,7,1,15,1,2,2.33,6,3.67,2,1.67,5,5,0,0,0
15,3,5,1.2,5.33,4,5.5,6.75,5,11,0,4,4,5,4,1,5,7,1,0,0,0
14,3.5,999,1,5.67,6,5.5,6.5,4,5,0,0,4.33,5.67,3.33,2,5,6.25,1.5,0,0,0
15,4,7,1.2,3,5.67,7,7,5,14,0,3,5,6.67,5.33,3,4.67,6.75,5.17,0,0,0
15,3,999,1.8,4.33,5,6.33,4.75,5,9,1,3,4,3,4,1.33,4.33,5.75,3.67,0,0,0
15,2.5,7,4,4,2.33,7,6.5,3,0,0,3,7,5.33,7,2,3,7,4.17,0,0,0
15,4,999,1,6.67,6,5.67,7,2,9,0,2,6.33,6.67,7,2,5,7,1,0,0,0
15,4,999,1,5,7,5.5,7,2,3,1,2,1,3.67,1,2,5,7,3.5,0,0,0
14,2.5,4,3,4.67,4,5,5.25,4,7,0,999,5,6.33,5,4.33,4,4.75,4,0,1,0
